L1 = Terminal Pathway,Splay,L2,L3,L4
Brucella abortus O antigen biosynthesis,L2A,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
butachlor degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
C30 Carotenoid Biosynthesis (2 instances),L2A,Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
C40 Carotenoid Biosynthesis (37 instances),L2A,Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
cadaverine biosynthesis,L2A,Acid Resistance (4 instances),Detoxification (65 instances),NA
"caffeine degradation IV (bacteria, via demethylation and oxidation)",L2A,Caffeine Degradation (5 instances),Alkaloid Degradation (8 instances),Nitrogen Containing Secondary Compound Degradation (23 instances)
calonectrin biosynthesis,L2A,Tricothecene Biosynthesis (5 instances),Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances)
Calvin-Benson-Bassham cycle,L2A,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances),C1 Compound Utilization and Assimilation (39 instances)
canthaxanthin biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
capsanthin and capsorubin biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
capsidiol biosynthesis,L2A,Sesquiterpenoid Biosynthesis (41 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas),L2A,Cardiolipin Biosynthesis (4 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
carotenoid cleavage,L2A,Metabolic Clusters (69 instances),NA,NA
carrageenan biosynthesis,L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
Carrageenan Degradation (3 instances),L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
catechol degradation I (meta-cleavage pathway),L2A,Catechol Degradation (7 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
catechol degradation II (meta-cleavage pathway),L2A,Catechol Degradation (7 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
catechol degradation III (ortho-cleavage pathway),L2A,Catechol Degradation (7 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
cell-surface glycoconjugate-linked phosphonate biosynthesis,L2A,Macromolecule Modification (64 instances),NA,NA
cellulose and hemicellulose degradation (cellulolosome),L2A,Cellulose Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
cellulose biosynthesis,L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
Cellulose Degradation (3 instances),L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
cellulose degradation I (cellulosome),L2A,Cellulose Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
cellulose degradation II (fungi),L2A,Cellulose Degradation (3 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chanoclavine I aldehyde biosynthesis,L2A,Indole Alkaloid Biosynthesis (11 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
chaxamycin biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
chitin biosynthesis,L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
chitin deacetylation,L2A,Chitin Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
Chitin Degradation (5 instances),L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
chitin degradation I (archaea),L2A,Chitin Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chitin degradation II (Vibrio),L2A,Chitin Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chitin degradation III (Serratia),L2A,Chitin Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chitin derivatives degradation,L2A,Chitin Degradation (5 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chlorinated phenols degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
Chloroaromatic Compound Degradation (35 instances),L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
chlorobactene biosynthesis,L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
chlorobenzene degradation,L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
Chlorobenzene Degradation (6 instances),L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
Chlorobenzoate Degradation (6 instances),L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
Chlorocatechol Degradation (7 instances),L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
chlorosalicylate degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
Chlorotoluene Degradation (5 instances),L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
chlorzoxazone degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
cholesterol biosynthesis (diatoms),L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
cholesterol biosynthesis I,L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)",L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
cholesterol biosynthesis III (via desmosterol),L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
choline degradation IV,L2A,Choline Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
choline-O-sulfate degradation,L2A,Choline Degradation (5 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
chondroitin biosynthesis,L2A,Glycosaminoglycan Biosynthesis (8 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
chondroitin sulfate biosynthesis,L2A,Glycosaminoglycan Biosynthesis (8 instances),Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances)
chondroitin sulfate degradation (metazoa),L2A,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chondroitin sulfate degradation I (bacterial),L2A,Glycosaminoglycan Degradation (7 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
chorismate biosynthesis I,L2A,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
chorismate biosynthesis II (archaea),L2A,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances)
cichoriin interconversion,L2A,Coumarins Biosynthesis (14 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
cinnamoyl-CoA biosynthesis,L2A,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
citreoisocoumarin and bikisocoumarin biosynthesis,L2A,Metabolic Clusters (69 instances),NA,NA
"CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis",L2A,CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances),CMP-sugar Biosynthesis (12 instances),Sugar Nucleotide Biosynthesis (92 instances)
colanic acid (Escherichia coli K12) biosynthesis,L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
colanic acid building blocks biosynthesis,L2A,Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances),NA
colibactin biosynthesis,L2A,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
complex N-linked glycan biosynthesis (plants),L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
complex N-linked glycan biosynthesis (vertebrates),L2A,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
coniferin metabolism,L2A,Lignin Biosynthesis (4 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
coumarin metabolism (to melilotic acid),L2A,Coumarins Biosynthesis (14 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
creatine biosynthesis,L2A,Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances),NA
creatine phosphate biosynthesis,L2A,Amine and Polyamine Biosynthesis (38 instances),Biosynthesis (1993 instances),NA
crepenynate biosynthesis,L2A,Fatty Acid Containing acetylenic bond Biosynthesis (4 instances),Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
crocetin biosynthesis,L2A,Apocarotenoid Biosynthesis (4 instances),C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances)
crocetin esters biosynthesis,L2A,Apocarotenoid Biosynthesis (4 instances),C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances)
crotonate fermentation (to acetate and cyclohexane carboxylate),L2A,Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
curcumin glucoside biosynthesis,L2A,Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
cuticular wax biosynthesis,L2A,Epidermal Structures (2 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
cutin biosynthesis,L2A,Epidermal Structures (2 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
cyanate degradation,L2A,Detoxification (65 instances),NA,NA
cyclic electron flow,L2A,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
cycloartenol biosynthesis,L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
cyclobis-(1->6)-alpha-nigerosyl degradation,L2A,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
cylindrospermopsin biosynthesis,L2A,Sulfur-Containing Secondary Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
Cytochrome c Biogenesis (3 instances),L2A,Heme Biosynthesis (13 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
cytochrome c biogenesis (system I type),L2A,Cytochrome c Biogenesis (3 instances),Heme Biosynthesis (13 instances),Enzyme Cofactor Biosynthesis (137 instances)
cytochrome c biogenesis (system II type),L2A,Cytochrome c Biogenesis (3 instances),Heme Biosynthesis (13 instances),Enzyme Cofactor Biosynthesis (137 instances)
cytochrome c biogenesis (system III type),L2A,Cytochrome c Biogenesis (3 instances),Heme Biosynthesis (13 instances),Enzyme Cofactor Biosynthesis (137 instances)
cytokinin-O-glucosides biosynthesis,L2A,Cytokinin Biosynthesis (6 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
cytokinins 7-N-glucoside biosynthesis,L2A,Cytokinin Biosynthesis (6 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
cytokinins 9-N-glucoside biosynthesis,L2A,Cytokinin Biosynthesis (6 instances),Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances)
cytokinins degradation,L2A,Cytokinin Degradation (1 instances),Plant Hormone Degradation (11 instances),Hormone Degradation (20 instances)
cytosolic NADPH production (yeast),L2A,NAD Metabolism (19 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
D-cycloserine biosynthesis,L2A,Antibiotic Biosynthesis (123 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
D-fructuronate degradation,L2A,Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
D-Galactarate Degradation (2 instances),L2A,Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
D-galactarate degradation I,L2A,D-Galactarate Degradation (2 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
D-galactarate degradation II,L2A,D-Galactarate Degradation (2 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
D-galactonate degradation,L2A,Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
D-Galacturonate Degradation (3 instances),L2A,Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
D-galacturonate degradation I,L2A,D-Galacturonate Degradation (3 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
D-galacturonate degradation II,L2A,D-Galacturonate Degradation (3 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
D-galacturonate degradation III,L2A,D-Galacturonate Degradation (3 instances),Sugar Acid Degradation (19 instances),Carboxylate Degradation (101 instances)
