"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"134","aromatic compounds degradation via beta-ketoadipate","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Catechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"135","aromatic glucosinolate activation","Activation (13 instances)","Activation/Inactivation/Interconversion (53 instances)","Glucosinolate Activation (4 instances)",NA,NA,NA,NA,NA,NA
"136","arsenite to oxygen electron transfer","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"137","arsenite to oxygen electron transfer (via azurin)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"138","Ascorbate Biosynthesis (8 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Vitamin Biosynthesis (66 instances)",NA,NA,NA,NA,NA
"139","assimilatory sulfate reduction I","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"140","astaxanthin biosynthesis (bacteria, fungi, algae)","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"141","astaxanthin biosynthesis (flowering plants)","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"142","astaxanthin dirhamnoside biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"143","B series fagopyritols biosynthesis","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Cyclitol Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"144","bacillibactin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"145","baicalein degradation (hydrogen peroxide detoxification)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)","Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"146","base-degraded thiamine salvage","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA,NA
"147","benzoate biosynthesis I (CoA-dependent, beta-oxidative)","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)","Benzoate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"148","benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)","Benzoate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"149","benzoate fermentation (to acetate and cyclohexane carboxylate)","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Fermentation (81 instances)",NA,NA,NA,NA,NA,NA
"150","beta-(1,4)-mannan degradation","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"151","beta-alanine betaine biosynthesis","Amine and Polyamine Biosynthesis (38 instances)","Biosynthesis (1993 instances)","Betaine Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"152","beta-carotene biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"153","beta-carotene biosynthesis (engineered)","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"154","beta-D-glucuronide and D-glucuronate degradation","Sugar Acid Degradation (19 instances)","Carboxylate Degradation (101 instances)","D-Glucuronate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"155","Betaine Biosynthesis (6 instances)","Biosynthesis (1993 instances)",NA,"Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"156","Bifidobacterium shunt","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA,NA
"157","bile acid 7alpha-dehydroxylation","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"158","bile acid 7beta-dehydroxylation","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"159","Bile Acid Degradation (7 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"160","bile acids 12-O-epimerization","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"161","bile acids 3-O-epimerization","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"162","bile acids 7-O epimerization","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"163","bile acids deconjugation","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"164","bile acids epimerization","Carboxylate Degradation (101 instances)","Degradation/Utilization/Assimilation (1104 instances)","Bile Acid Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"165","biochanin A conjugates interconversion","Activation/Inactivation/Interconversion (53 instances)",NA,"Interconversions (22 instances)",NA,NA,NA,NA,NA,NA
"166","biosynthesis of Lewis epitopes (H. pylori)","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA,NA
"167","biotin biosynthesis I","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biotin Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"168","biotin biosynthesis II","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biotin Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"169","bixin biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","Carotenoid Biosynthesis (43 instances)","Apocarotenoid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"170","bombykol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"171","brassinosteroids inactivation","Activation/Inactivation/Interconversion (53 instances)",NA,"Inactivation (19 instances)",NA,NA,NA,NA,NA,NA
"172","Brucella abortus O antigen biosynthesis","Polysaccharide Biosynthesis (73 instances)","Glycan Biosynthesis (99 instances)","O-Antigen Biosynthesis (45 instances)",NA,NA,"O-Antigen Biosynthesis (45 instances)",NA,NA,NA
"173","butachlor degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"174","C30 Carotenoid Biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Carotenoid Biosynthesis (43 instances)","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA
"175","C40 Carotenoid Biosynthesis (37 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Carotenoid Biosynthesis (43 instances)","Tetraterpenoid Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"176","cadaverine biosynthesis","Detoxification (65 instances)",NA,"Acid Resistance (4 instances)",NA,NA,NA,NA,NA,NA
"177","caffeine degradation IV (bacteria, via demethylation and oxidation)","Alkaloid Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)","Caffeine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"178","calonectrin biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)","Tricothecene Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"179","Calvin-Benson-Bassham cycle","CO2 Fixation (15 instances)","C1 Compound Utilization and Assimilation (39 instances)","Autotrophic CO2 Fixation (12 instances)",NA,NA,NA,NA,NA,NA
"180","canthaxanthin biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"181","capsanthin and capsorubin biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"182","capsidiol biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"183","cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)","Phospholipid Biosynthesis (38 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Cardiolipin Biosynthesis (4 instances)","Phosphatidylethanolamine Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"184","carotenoid cleavage",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
"185","carrageenan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"186","Carrageenan Degradation (3 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"187","catechol degradation I (meta-cleavage pathway)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Catechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"188","catechol degradation II (meta-cleavage pathway)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Catechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"189","catechol degradation III (ortho-cleavage pathway)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Catechol Degradation (7 instances)",NA,NA,NA,NA,NA,NA
"190","cell-surface glycoconjugate-linked phosphonate biosynthesis",NA,NA,"Macromolecule Modification (64 instances)",NA,NA,NA,NA,NA,NA
"191","cellulose and hemicellulose degradation (cellulolosome)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Cellulose Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"192","cellulose biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"193","Cellulose Degradation (3 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"194","cellulose degradation I (cellulosome)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Cellulose Degradation (3 instances)",NA,"Glycan Degradation (11 instances)",NA,NA,NA,NA
"195","cellulose degradation II (fungi)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Cellulose Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"196","chanoclavine I aldehyde biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Indole Alkaloid Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"197","chaxamycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"198","chitin biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"199","chitin deacetylation","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Chitin Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"200","Chitin Degradation (5 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"201","chitin degradation I (archaea)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Chitin Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"202","chitin degradation II (Vibrio)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Chitin Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"203","chitin degradation III (Serratia)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Chitin Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"204","chitin derivatives degradation","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Chitin Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"205","chlorinated phenols degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"206","Chloroaromatic Compound Degradation (35 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"207","chlorobactene biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"208","chlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"209","Chlorobenzene Degradation (6 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"210","Chlorobenzoate Degradation (6 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"211","Chlorocatechol Degradation (7 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"212","chlorosalicylate degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"213","Chlorotoluene Degradation (5 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"214","chlorzoxazone degradation","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA,NA
"215","cholesterol biosynthesis (diatoms)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"216","cholesterol biosynthesis I","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"217","cholesterol biosynthesis II (via 24,25-dihydrolanosterol)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"218","cholesterol biosynthesis III (via desmosterol)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)","Sterol Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"219","choline degradation IV","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Choline Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"220","choline-O-sulfate degradation","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)","Choline Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"221","chondroitin biosynthesis","Polysaccharide Biosynthesis (73 instances)","Glycan Biosynthesis (99 instances)","Glycosaminoglycan Biosynthesis (8 instances)",NA,"Glycosaminoglycan Biosynthesis (8 instances)",NA,NA,NA,NA
"222","chondroitin sulfate biosynthesis","Polysaccharide Biosynthesis (73 instances)","Glycan Biosynthesis (99 instances)","Glycosaminoglycan Biosynthesis (8 instances)",NA,"Glycosaminoglycan Biosynthesis (8 instances)",NA,NA,NA,NA
"223","chondroitin sulfate degradation (metazoa)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Glycan Degradation (11 instances)",NA,NA,"Glycosaminoglycan Degradation (7 instances)",NA,NA,NA
"224","chondroitin sulfate degradation I (bacterial)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Glycosaminoglycan Degradation (7 instances)",NA,NA,NA,NA,NA,NA
