"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"PWY0-162","Mucosal",-0.1083455151,0.01784593695,91,91,0.000000237,0.0000022,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","","","","Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)","Mucosal",-0.08066092869,0.01617109063,86,86,0.0000112,0.0000934,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","","",NA,"Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1164403045,0.01811939002,92,92,0.0000000651,0.000000961,"superpathway of pyrimidine ribonucleotides de novo biosynthesis","Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)","","","","Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)"
"PWY0-166","Mucosal",-0.1078356772,0.0186574509,91,91,0.000000645,0.00000564,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Mucosal",-0.07835959324,0.0167765496,86,86,0.0000318,0.0002450174599,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","",NA,"2'-Deoxyribonucleotide Biosynthesis (11 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1117224825,0.01987430755,92,91,0.00000105,0.0000107,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)"
"PWY0-781","Mucosal",-0.1955666398,0.04372716322,91,42,0.0000499,0.0003328845632,"aspartate superpathway","Superpathways (382 instances)","","","",NA,"Mucosal",-0.1467826136,0.04549960294,86,37,0.002451756842,0.0129657325,"aspartate superpathway","Superpathways (382 instances)","","",NA,NA,NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.2091638392,0.04750454999,92,35,0.0000632,0.0004872730315,"aspartate superpathway","Superpathways (382 instances)","","","",NA
"PWY490-3","Mucosal",-0.5742793594,0.07729465305,91,31,0.0000000712,0.000000732,"nitrate reduction VI (assimilatory)","Nitrate Reduction (11 instances)","","","","Nitrogen Compound Metabolism (33 instances)","Mucosal",-0.4187020983,0.10981435,86,19,0.0009521062295,0.005583099114,"nitrate reduction VI (assimilatory)","Nitrate Reduction (11 instances)","","",NA,"Nitrogen Compound Metabolism (33 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.3908566507,0.1036893063,92,27,0.0006630219954,0.004425408715,"nitrate reduction VI (assimilatory)","Nitrate Reduction (11 instances)","","","","Nitrogen Compound Metabolism (33 instances)"
"PWY4FS-7","Mucosal",-0.1210629017,0.01785692993,91,91,0.0000000202,0.000000262,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)","Mucosal",-0.09434945599,0.01722659428,86,86,0.00000218,0.0000211,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","",NA,"Phospholipid Biosynthesis (38 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1129690406,0.01745327818,92,92,0.0000000529,0.000000878,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY4FS-8","Mucosal",-0.1210629017,0.01785692993,91,91,0.0000000202,0.000000262,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)","Mucosal",-0.09434945599,0.01722659428,86,86,0.00000218,0.0000211,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","",NA,"Phospholipid Biosynthesis (38 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1129690406,0.01745327818,92,92,0.0000000529,0.000000878,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PYRIDNUCSAL-PWY","Mucosal",-0.2569209643,0.0593888365,91,52,0.0001346110826,0.0008525368565,"NAD salvage pathway I (PNC VI cycle)","NAD Biosynthesis (12 instances)","","","","NAD Metabolism (19 instances)","Mucosal",-0.2159029525,0.03985310706,86,56,0.00000266,0.0000249,"NAD salvage pathway I (PNC VI cycle)","NAD Biosynthesis (12 instances)","","",NA,"NAD Metabolism (19 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1619650772,0.03889958092,92,64,0.0001421674008,0.001030713656,"NAD salvage pathway I (PNC VI cycle)","NAD Biosynthesis (12 instances)","","","","NAD Metabolism (19 instances)"
"PYRIDNUCSYN-PWY","Mucosal",-0.2654584512,0.03948210963,91,74,0.000000026,0.000000307,"NAD de novo biosynthesis I (from aspartate)","NAD Biosynthesis (12 instances)","","","","NAD Metabolism (19 instances)","Mucosal",-0.1864182718,0.02591846439,86,71,0.00000000882,0.000000238,"NAD de novo biosynthesis I (from aspartate)","NAD Biosynthesis (12 instances)","","",NA,"NAD Metabolism (19 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1520984864,0.03220797581,92,81,0.0000221,0.0001800739243,"NAD de novo biosynthesis I (from aspartate)","NAD Biosynthesis (12 instances)","","","","NAD Metabolism (19 instances)"
"RIBOSYN2-PWY","Mucosal",-0.1508463288,0.02855467787,91,80,0.00000377,0.0000291,"flavin biosynthesis I (bacteria and plants)","Flavin Biosynthesis (5 instances)","","","","Electron Carrier Biosynthesis (99 instances)","Mucosal",-0.1516135125,0.02345959325,86,78,0.0000000769,0.00000158,"flavin biosynthesis I (bacteria and plants)","Flavin Biosynthesis (5 instances)","","",NA,"Electron Carrier Biosynthesis (99 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1163346417,0.02831530142,92,84,0.0001756433269,0.00125183083,"flavin biosynthesis I (bacteria and plants)","Flavin Biosynthesis (5 instances)","","","","Electron Carrier Biosynthesis (99 instances)"
"RUMP-PWY","Mucosal",-0.4747765271,0.06761354596,91,50,0.0000000115,0.000000177,"formaldehyde oxidation I","Formaldehyde Oxidation (7 instances)","Generation of Precursor Metabolites and Energy (240 instances)","","","C1 Compound Utilization and Assimilation (39 instances)","Mucosal",-0.3552745913,0.06652827142,86,51,0.0000036,0.0000333,"formaldehyde oxidation I","Formaldehyde Oxidation (7 instances)","Generation of Precursor Metabolites and Energy (240 instances)","",NA,"C1 Compound Utilization and Assimilation (39 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.3732277904,0.04832314404,92,53,0.00000000139,0.0000000896,"formaldehyde oxidation I","Formaldehyde Oxidation (7 instances)","Generation of Precursor Metabolites and Energy (240 instances)","","","C1 Compound Utilization and Assimilation (39 instances)"
"SER-GLYSYN-PWY","Mucosal",-0.181900195,0.01954344173,91,88,0.00000000000353,0.000000000119,"superpathway of L-serine and glycine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.1524756383,0.0185270044,86,83,0.000000000233,0.0000000144,"superpathway of L-serine and glycine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","",NA,"Biosynthesis (1993 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.142563435,0.01909298174,92,90,0.00000000186,0.0000000979,"superpathway of L-serine and glycine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"TEICHOICACID-PWY","Mucosal",-0.2520854276,0.04118953621,91,77,0.000000191,0.00000179,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","","","Cell Wall Biosynthesis (26 instances)","Mucosal",-0.1662775351,0.03400269953,86,64,0.0000167,0.0001349128372,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","",NA,"Cell Wall Biosynthesis (26 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.3163010792,0.04763722526,92,75,0.00000000345,0.000000153,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"THRESYN-PWY","Mucosal",-0.1221363445,0.01792082754,91,91,0.0000000168,0.000000231,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1044150356,0.0169649147,86,86,0.000000209,0.00000311,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.121116153,0.01802760273,92,92,0.0000000223,0.000000529,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"TRNA-CHARGING-PWY","Mucosal",-0.1339538539,0.01637944807,91,91,0.00000000013,0.00000000344,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","","","Biosynthesis (1993 instances)","Mucosal",-0.1160842141,0.01638056482,86,86,0.000000000537,0.0000000231,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","",NA,"Biosynthesis (1993 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1093871088,0.01677411361,92,92,0.00000000493,0.000000175,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","","","Biosynthesis (1993 instances)"
"UDPNAGSYN-PWY","Mucosal",-0.1246251056,0.01917439204,91,91,0.0000000531,0.000000566,"UDP-N-acetyl-D-glucosamine biosynthesis I","UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances)","","","","UDP-sugar Biosynthesis (31 instances)","Mucosal",-0.09769308539,0.01788868532,86,86,0.00000246,0.0000236,"UDP-N-acetyl-D-glucosamine biosynthesis I","UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances)","","",NA,"UDP-sugar Biosynthesis (31 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1165256962,0.0194390362,92,92,0.00000028,0.00000323,"L-isoleucine biosynthesis III","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"VALSYN-PWY","Mucosal",-0.182833785,0.01802952084,91,89,0.000000000000277,0.0000000000202,"L-valine biosynthesis","L-valine Biosynthesis (1 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1504449824,0.01837112876,86,85,0.000000000289,0.0000000156,"L-valine biosynthesis","L-valine Biosynthesis (1 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,NA,"","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","Mucosal",-0.1234900677,0.01901631303,92,90,0.0000000536,0.000000878,"L-valine biosynthesis","L-valine Biosynthesis (1 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
